bb_measure_code	period_code	grade_code	color_name	min_score	max_score
wordAnalysisPercent	ap1	4	yellow	15.0	84.0
wordAnalysisPercent	ap1	4	green	84.0	9999.0
wordAnalysisPercent	ap2	4	red	0.0	15.0
wordAnalysisPercent	ap2	4	yellow	15.0	84.0
wordAnalysisPercent	ap2	4	green	84.0	9999.0
wordAnalysisPercent	ap3	4	red	0.0	15.0
wordAnalysisPercent	ap3	4	yellow	15.0	84.0
wordAnalysisPercent	ap3	4	green	84.0	9999.0
wordAnalysisStandard	ap1	4	red	0.0	15.0
wordAnalysisStandard	ap1	4	yellow	15.0	84.0
wordAnalysisStandard	ap1	4	green	84.0	9999.0
wordAnalysisStandard	ap2	4	red	0.0	15.0
wordAnalysisStandard	ap2	4	yellow	15.0	84.0
wordAnalysisStandard	ap2	4	green	84.0	9999.0
wordAnalysisStandard	ap3	4	red	0.0	15.0
wordAnalysisStandard	ap3	4	yellow	15.0	84.0
wordAnalysisStandard	ap3	4	green	84.0	9999.0
kReadAccuracy	ap1	5	red	0.0	15.0
kReadAccuracy	ap1	5	yellow	15.0	84.0
kReadAccuracy	ap1	5	green	84.0	9999.0
kReadAccuracy	ap2	5	red	0.0	15.0
kReadAccuracy	ap2	5	yellow	15.0	84.0
kReadAccuracy	ap2	5	green	84.0	9999.0
kReadAccuracy	ap3	5	red	0.0	15.0
kReadAccuracy	ap3	5	yellow	15.0	84.0
kReadAccuracy	ap3	5	green	84.0	9999.0
kReadFluency	ap1	5	red	0.0	15.0
kReadFluency	ap1	5	yellow	15.0	84.0
kReadFluency	ap1	5	green	84.0	9999.0
kReadFluency	ap2	5	red	0.0	15.0
kReadFluency	ap2	5	yellow	15.0	84.0
kReadFluency	ap2	5	green	84.0	9999.0
kReadFluency	ap3	5	red	0.0	15.0
kReadFluency	ap3	5	yellow	15.0	84.0
kReadFluency	ap3	5	green	84.0	9999.0
mazeAdjScore	ap1	5	red	0.0	15.0
mazeAdjScore	ap1	5	yellow	15.0	84.0
mazeAdjScore	ap1	5	green	84.0	9999.0
mazeAdjScore	ap2	5	red	0.0	15.0
mazeAdjScore	ap2	5	yellow	15.0	84.0
mazeAdjScore	ap2	5	green	84.0	9999.0
mazeAdjScore	ap3	5	red	0.0	15.0
mazeAdjScore	ap3	5	yellow	15.0	84.0
mazeAdjScore	ap3	5	green	84.0	9999.0
mazePercent	ap1	5	red	0.0	15.0
mazePercent	ap1	5	yellow	15.0	84.0
mazePercent	ap1	5	green	84.0	9999.0
mazePercent	ap2	5	red	0.0	15.0
mazePercent	ap2	5	yellow	15.0	84.0
mazePercent	ap2	5	green	84.0	9999.0
mazePercent	ap3	5	red	0.0	15.0
mazePercent	ap3	5	yellow	15.0	84.0
mazePercent	ap3	5	green	84.0	9999.0
mazeStandardScore	ap1	5	red	0.0	15.0
mazeStandardScore	ap1	5	yellow	15.0	84.0
mazeStandardScore	ap1	5	green	84.0	9999.0
mazeStandardScore	ap2	5	red	0.0	15.0
mazeStandardScore	ap2	5	yellow	15.0	84.0
mazeStandardScore	ap2	5	green	84.0	9999.0
mazeStandardScore	ap3	5	red	0.0	15.0
mazeStandardScore	ap3	5	yellow	15.0	84.0
mazeStandardScore	ap3	5	green	84.0	9999.0
readCompPercent	ap1	5	red	0.0	15.0
readCompPercent	ap1	5	yellow	15.0	84.0
readCompPercent	ap1	5	green	84.0	9999.0
readCompPercent	ap2	5	red	0.0	15.0
readCompPercent	ap2	5	yellow	15.0	84.0
readCompPercent	ap2	5	green	84.0	9999.0
readCompPercent	ap3	5	red	0.0	15.0
readCompPercent	ap3	5	yellow	15.0	84.0
readCompPercent	ap3	5	green	84.0	9999.0
spellPercent	ap1	5	red	0.0	15.0
spellPercent	ap1	5	yellow	15.0	84.0
spellPercent	ap1	5	green	84.0	9999.0
spellPercent	ap2	5	red	0.0	15.0
spellPercent	ap2	5	yellow	15.0	84.0
spellPercent	ap2	5	green	84.0	9999.0
spellPercent	ap3	5	red	0.0	15.0
spellPercent	ap3	5	yellow	15.0	84.0
spellPercent	ap3	5	green	84.0	9999.0
success	ap1	5	red	0.0	15.0
success	ap1	5	yellow	15.0	84.0
success	ap1	5	green	84.0	9999.0
success	ap2	5	red	0.0	15.0
success	ap2	5	yellow	15.0	84.0
success	ap2	5	green	84.0	9999.0
success	ap3	5	red	0.0	15.0
success	ap3	5	yellow	15.0	84.0
success	ap3	5	green	84.0	9999.0
vocPercent	ap1	5	red	0.0	15.0
vocPercent	ap1	5	yellow	15.0	84.0
vocPercent	ap1	5	green	84.0	9999.0
vocPercent	ap2	5	red	0.0	15.0
vocPercent	ap2	5	yellow	15.0	84.0
vocPercent	ap2	5	green	84.0	9999.0
vocPercent	ap3	5	red	0.0	15.0
vocPercent	ap3	5	yellow	15.0	84.0
vocPercent	ap3	5	green	84.0	9999.0
vocRawScore	ap1	5	red	0.0	15.0
vocRawScore	ap1	5	yellow	15.0	84.0
vocRawScore	ap1	5	green	84.0	9999.0
vocRawScore	ap2	5	red	0.0	15.0
vocRawScore	ap2	5	yellow	15.0	84.0
vocRawScore	ap2	5	green	84.0	9999.0
vocRawScore	ap3	5	red	0.0	15.0
vocRawScore	ap3	5	yellow	15.0	84.0
vocRawScore	ap3	5	green	84.0	9999.0
wordAnalysisPercent	ap1	5	red	0.0	15.0
wordAnalysisPercent	ap1	5	yellow	15.0	84.0
wordAnalysisPercent	ap1	5	green	84.0	9999.0
wordAnalysisPercent	ap2	5	red	0.0	15.0
wordAnalysisPercent	ap2	5	yellow	15.0	84.0
wordAnalysisPercent	ap2	5	green	84.0	9999.0
wordAnalysisPercent	ap3	5	red	0.0	15.0
wordAnalysisPercent	ap3	5	yellow	15.0	84.0
wordAnalysisPercent	ap3	5	green	84.0	9999.0
wordAnalysisStandard	ap1	5	red	0.0	15.0
wordAnalysisStandard	ap1	5	yellow	15.0	84.0
wordAnalysisStandard	ap1	5	green	84.0	9999.0
wordAnalysisStandard	ap2	5	red	0.0	15.0
wordAnalysisStandard	ap2	5	yellow	15.0	84.0
wordAnalysisStandard	ap2	5	green	84.0	9999.0
wordAnalysisStandard	ap3	5	red	0.0	15.0
wordAnalysisStandard	ap3	5	yellow	15.0	84.0
wordAnalysisStandard	ap3	5	green	84.0	9999.0
kReadAccuracy	ap1	6	red	0.0	15.0
kReadAccuracy	ap1	6	yellow	15.0	84.0
kReadAccuracy	ap1	6	green	84.0	9999.0
kReadAccuracy	ap2	6	red	0.0	15.0
kReadAccuracy	ap2	6	yellow	15.0	84.0
kReadAccuracy	ap2	6	green	84.0	9999.0
kReadAccuracy	ap3	6	red	0.0	15.0
kReadAccuracy	ap3	6	yellow	15.0	84.0
kReadAccuracy	ap3	6	green	84.0	9999.0
kReadFluency	ap1	6	red	0.0	15.0
kReadFluency	ap1	6	yellow	15.0	84.0
kReadFluency	ap1	6	green	84.0	9999.0
kReadFluency	ap2	6	red	0.0	15.0
kReadFluency	ap2	6	yellow	15.0	84.0
kReadFluency	ap2	6	green	84.0	9999.0
kReadFluency	ap3	6	red	0.0	15.0
kReadFluency	ap3	6	yellow	15.0	84.0
kReadFluency	ap3	6	green	84.0	9999.0
mazeAdjScore	ap1	6	red	0.0	15.0
mazeAdjScore	ap1	6	yellow	15.0	84.0
mazeAdjScore	ap1	6	green	84.0	9999.0
mazeAdjScore	ap2	6	red	0.0	15.0
mazeAdjScore	ap2	6	yellow	15.0	84.0
mazeAdjScore	ap2	6	green	84.0	9999.0
mazeAdjScore	ap3	6	red	0.0	15.0
mazeAdjScore	ap3	6	yellow	15.0	84.0
mazeAdjScore	ap3	6	green	84.0	9999.0
mazePercent	ap1	6	red	0.0	15.0
mazePercent	ap1	6	yellow	15.0	84.0
mazePercent	ap1	6	green	84.0	9999.0
mazePercent	ap2	6	red	0.0	15.0
mazePercent	ap2	6	yellow	15.0	84.0
mazePercent	ap2	6	green	84.0	9999.0
mazePercent	ap3	6	red	0.0	15.0
mazePercent	ap3	6	yellow	15.0	84.0
mazePercent	ap3	6	green	84.0	9999.0
mazeStandardScore	ap1	6	red	0.0	15.0
mazeStandardScore	ap1	6	yellow	15.0	84.0
mazeStandardScore	ap1	6	green	84.0	9999.0
mazeStandardScore	ap2	6	red	0.0	15.0
mazeStandardScore	ap2	6	yellow	15.0	84.0
mazeStandardScore	ap2	6	green	84.0	9999.0
mazeStandardScore	ap3	6	red	0.0	15.0
mazeStandardScore	ap3	6	yellow	15.0	84.0
mazeStandardScore	ap3	6	green	84.0	9999.0
readCompPercent	ap1	6	red	0.0	15.0
readCompPercent	ap1	6	yellow	15.0	84.0
readCompPercent	ap1	6	green	84.0	9999.0
readCompPercent	ap2	6	red	0.0	15.0
readCompPercent	ap2	6	yellow	15.0	84.0
readCompPercent	ap2	6	green	84.0	9999.0
readCompPercent	ap3	6	red	0.0	15.0
readCompPercent	ap3	6	yellow	15.0	84.0
readCompPercent	ap3	6	green	84.0	9999.0
spellPercent	ap1	6	red	0.0	15.0
spellPercent	ap1	6	yellow	15.0	84.0
spellPercent	ap1	6	green	84.0	9999.0
spellPercent	ap2	6	red	0.0	15.0
spellPercent	ap2	6	yellow	15.0	84.0
spellPercent	ap2	6	green	84.0	9999.0
spellPercent	ap3	6	red	0.0	15.0
spellPercent	ap3	6	yellow	15.0	84.0
spellPercent	ap3	6	green	84.0	9999.0
success	ap1	6	red	0.0	15.0
success	ap1	6	yellow	15.0	84.0
success	ap1	6	green	84.0	9999.0
success	ap2	6	red	0.0	15.0
success	ap2	6	yellow	15.0	84.0
success	ap2	6	green	84.0	9999.0
success	ap3	6	red	0.0	15.0
success	ap3	6	yellow	15.0	84.0
success	ap3	6	green	84.0	9999.0
vocPercent	ap1	6	red	0.0	15.0
vocPercent	ap1	6	yellow	15.0	84.0
vocPercent	ap1	6	green	84.0	9999.0
vocPercent	ap2	6	red	0.0	15.0
vocPercent	ap2	6	yellow	15.0	84.0
vocPercent	ap2	6	green	84.0	9999.0
vocPercent	ap3	6	red	0.0	15.0
vocPercent	ap3	6	yellow	15.0	84.0
vocPercent	ap3	6	green	84.0	9999.0
vocRawScore	ap1	6	red	0.0	15.0
vocRawScore	ap1	6	yellow	15.0	84.0
vocRawScore	ap1	6	green	84.0	9999.0
vocRawScore	ap2	6	red	0.0	15.0
